Country	Most Recent Year	GDP per Capita
Saudi Arabia	1994	7,421.3	
Qatar	1994	14,544.0	
Ukraine	1994	1,012.0	
Jordan	1994	1,414.3	
Indonesia	1994	912.2	
Ireland	1994	15,902.9	
Tanzania	1994	161.2	
India	1994	346.1	
Aruba	1994	16,241.6	
Austria	1994	25,646.7	
Australia	1994	18,079.4	
Argentina	1994	7,483.1	
Angola	1994	328.7	
Albania	1994	586.4	
Armenia	1994	400.5	
Iran, Islamic Rep.	1994	1,185.7	
Iceland	1994	24,018.6	
Iraq	1994	204.3	
Antigua and Barbuda	1994	8,771.1	
Andorra	1994	16,235.1	
United Arab Emirates	1994	25,848.0	
St. Vincent and the Grenadines	1994	2,678.5	
Libya	1994	5,892.6	
Chad	1994	174.0	
Togo	1994	238.5	
Thailand	1994	2,491.4	
Lesotho	1994	471.8	
Liechtenstein	1994	64,051.2	
Sri Lanka	1994	647.6	
Turkiye	1994	2,270.3	
Trinidad and Tobago	1994	3,959.3	
Tuvalu	1994	1,175.8	
Lao PDR	1994	325.9	
St. Lucia	1994	4,919.4	
Lebanon	1994	2,820.5	
United States	1994	27,694.9	
Algeria	1994	1,507.9	
Yemen, Rep.	1994	291.5	
Germany	1994	27,076.6	
Denmark	1994	29,995.6	
Djibouti	1994	790.0	
Dominica	1994	3,721.3	
Dominican Republic	1994	1,905.9	
Sudan	1994	449.7	
Sweden	1994	26,083.6	
Singapore	1994	21,553.0	
Kazakhstan	1994	1,316.2	
Sierra Leone	1994	211.6	
Senegal	1994	595.0	
Korea, Rep.	1994	10,385.3	
Slovak Republic	1994	3,771.4	
Comoros	1994	690.5	
St. Kitts and Nevis	1994	7,092.1	
Cambodia	1994	270.5	
Kiribati	1994	715.2	
Suriname	1994	1,391.6	
Kyrgyz Republic	1994	372.3	
Syrian Arab Republic	1994	3,231.9	
Cabo Verde	1994	1,080.2	
Costa Rica	1994	3,031.9	
Cyprus	1994	11,617.7	
Czechia	1994	4,630.6	
Congo, Dem. Rep.	1994	144.6	
Central African Republic	1994	271.5	
Congo, Rep.	1994	672.2	
New Zealand	1994	15,280.3	
Canada	1994	19,935.4	
Chile	1994	4,024.2	
Cameroon	1994	672.8	
China	1994	473.5	
Colombia	1994	2,284.8	
Switzerland	1994	43,128.0	
Cote d'Ivoire	1994	605.3	
Nepal	1994	193.3	
Nigeria	1994	321.3	
Niger	1994	211.4	
New Caledonia	1994	16,037.0	
Vanuatu	1994	1,423.9	
Namibia	1994	2,303.3	
Norway	1994	29,315.8	
Netherlands	1994	24,646.3	
Azerbaijan	1994	157.1	
Nicaragua	1994	847.4	
Micronesia, Fed. Sts.	1994	1,909.8	
Fiji	1994	2,384.7	
Finland	1994	20,301.3	
France	1994	23,496.5	
Mexico	1994	5,854.4	
Malaysia	1994	3,728.1	
Uganda	1994	201.6	
Mauritania	1994	862.3	
Maldives	1994	1,432.2	
Malawi	1994	121.3	
Malta	1994	8,000.5	
Mauritius	1994	3,197.3	
North Macedonia	1994	1,796.2	
Marshall Islands	1994	2,152.2	
Mongolia	1994	406.0	
Macao SAR, China	1994	16,704.9	
Mali	1994	223.0	
Myanmar	1994	88.1	
Uzbekistan	1994	576.4	
Monaco	1994	89,378.0	
Morocco	1994	1,326.9	
Madagascar	1994	269.6	
Eritrea	1994	239.7	
Spain	1994	13,415.3	
Tajikistan	1994	267.4	
Ethiopia	1994	125.5	
Solomon Islands	1994	1,153.3	
Seychelles	1994	6,555.5	
Italy	1994	19,337.6	
Ecuador	1994	2,026.1	
South Africa	1994	3,784.4	
Egypt, Arab Rep.	1994	849.5	
Zambia	1994	412.3	
Poland	1994	2,874.8	
Philippines	1994	1,073.0	
Pakistan	1994	434.5	
Peru	1994	1,881.7	
Zimbabwe	1994	611.9	
Papua New Guinea	1994	1,086.3	
French Polynesia	1994	16,444.2	
Panama	1994	3,489.2	
Paraguay	1994	1,686.8	
Portugal	1994	9,977.3	
West Bank and Gaza	1994	1,201.6	
Puerto Rico	1994	10,876.4	
Turkmenistan	1994	622.4	
Honduras	1994	836.6	
